KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank
abdominal pain/chemically induced	MESH	0.010752688172043	1	202.46875	0.414020578664468	1.01885820526487	0.360706183598751	-2.61874428030466	203
abdominal pain/etiology	MESH	0.0104166666666666	1	0	0.358959160664134	1.48155513799669	0.311897756115092	9.94018467931495	48
adenocarcinoma of lung/drug therapy	MESH	0.010752688172043	1	0	0.309933375305487	0.509429102632434	0.12380674288538	1.02540390299333	110
adrenal cortex hormones/pharmacology	MESH	0.0106382978723404	1	0	0.408509747201346	0.180753594022051	0.0261898879180611	-1.71791680842477	157
adrenal cortex hormones/therapeutic use	MESH	0.032258064516129	3	4673.39285714286	0.524167653693242	3.48942843057433	0.925405988185351	-0.338444088748166	124
adrenal gland diseases/diagnostic imaging	MESH	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	8
adrenal insufficiency/chemically induced	MESH	0.010752688172043	1	82.820512820513	0.314251465898713	2.91309349943381	0.600053907144943	22.5590687836861	10
angiogenesis inhibitors/therapeutic use	MESH	0.010752688172043	1	82.820512820513	0.314251465898713	2.91309349943381	0.600053907144943	22.5590687836861	2
anti-bacterial agents	MESH	0.0106382978723404	1	0	0.408509747201346	0.180753594022051	0.0261898879180611	-1.71791680842477	159
anti-bacterial agents/adverse effects	MESH	0.010752688172043	1	0	0.408669485823964	0.679238803509912	0.157139327508367	-2.09163065617669	190
anti-bacterial agents/pharmacology	MESH	0.010752688172043	1	660	0.435690178743451	1.01885820526487	0.417420992340693	3.43853055170175	73
antibodies monoclonal humanized	MESH	0.010752688172043	1	0	0.409798463672095	0.520372995777007	0.133330338491948	-1.95001482254236	179
antibodies monoclonal humanized/administration & dosage	MESH	0.010752688172043	1	114.138888888889	0.316626598432736	0.84904850438739	0.253745423508007	16.2678890106302	28
antibodies monoclonal humanized/adverse effects	MESH	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	4
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043	1	0	0.280467033996951	0.339619401754956	0.0785696637541834	-1.57173818467161	150
antibodies monoclonal/adverse effects	MESH	0.010752688172043	1	141.421428571429	0.427275321098592	1.01885820526487	0.335751667752297	-1.9455609829718	176
antineoplastic agents immunological/adverse effects	MESH	0.075268817204301	7	7126.9	0.61062135618204	4.6042922007844	0.957795197771838	-1.83877319378921	169
antineoplastic agents immunological/therapeutic use	MESH	0.032258064516129	3	0	0.310765909975509	0.84904850438739	0.188091013229712	-0.821018324798113	132
antineoplastic agents/adverse effects	MESH	0.0106382978723404	1	0	0.386586378623655	2.34979672228666	0.404752813279127	3.16275561619928	87
apoptosis/drug effects	MESH	0.0106382978723404	1	0	0.386586378623655	2.34979672228666	0.404752813279127	3.16275561619928	78
arthritis/chemically induced	MESH	0.010752688172043	1	0	0.209756483364103	0.339619401754956	0.0785696637541834	16.1398854177326	32
axitinib/administration & dosage	MESH	0.010752688172043	1	82.820512820513	0.314251465898713	2.91309349943381	0.600053907144943	22.5590687836861	13
azoxymethane/adverse effects	MESH	0.010752688172043	1	0	0.204545615429313	1.35847760701982	0.295231463803598	13.779547482376	34
b7-h1 antigen/antagonists & inhibitors	MESH	0.032258064516129	3	630.5	0.415253171171244	1.26441350045499	0.42299139731812	0.608397056734465	111
b7-h1 antigen/genetics	MESH	0.010752688172043	1	0	1.20454310422196	1.35847760701982	1	0	9
b7-h1 antigen/metabolism	MESH	0.010752688172043	1	0	0.31558990376232	0.84904850438739	0.188091013229712	-1.19201598053423	136
beclomethasone/adverse effects	MESH	0.010752688172043	1	0	0.428894466332609	0.690182696654485	0.159520226410009	-0.0115767428161712	113
bevacizumab/administration & dosage	MESH	0.010752688172043	1	82.820512820513	0.314251465898713	2.91309349943381	0.600053907144943	22.5590687836861	12
biological products/therapeutic use	MESH	0.010752688172043	1	0	0.418059590575558	0.509429102632434	0.12380674288538	-0.839887709370089	133
biomarkers/analysis	MESH	0.010752688172043	1	222.632936507937	0.452956204776542	3.57367480940076	0.725949551896858	1.88896307485468	103
biomarkers/metabolism	MESH	0.010752688172043	1	0	0.309933375305487	0.509429102632434	0.12380674288538	1.02540390299333	108
