KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	CommunityMembership
"abdominal pain/chemically induced"	"MESH"	0.010752688172043	1	253.416666666667	0.387817032329816	1.01885820526487	0.271312860555912	-10.7719088068107	252	1
"abdominal pain/etiology"	"MESH"	0.0104166666666666	1	0	0.348201333855161	1.48155513799669	0.226909853738127	5.89788604221745	83	2
"ACAD8"	"GENE"	0.021505376344086	2	767.138888888889	0.349754274456192	1.86790670965226	0.477390594953674	2.54084506316395	106	3
"adenocarcinoma of lung/drug therapy"	"MESH"	0.010752688172043	1	0	0.306696790386986	0.509429102632434	0.0756366179127091	0.281950985650718	124	4
"adrenal cortex hormones/pharmacology"	"MESH"	0.0106382978723404	1	0	0.384230058090875	0.180753594022051	0.0189091544781773	-9.26322026415737	217	-1
"adrenal cortex hormones/therapeutic use"	"MESH"	0.032258064516129	3	4729.64285714286	0.476356351248852	4.00980142635133	0.947278713361692	-9.97250780247218	244	5
"adrenal gland diseases/diagnostic imaging"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	5	6
"adrenal insufficiency/chemically induced"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	4	7
"AHR"	"GENE"	0.010752688172043	1	1606.30952380952	0.423259351911908	0.679238803509912	0.20800069925995	-8.4021511995583	198	3
"angiogenesis inhibitors/therapeutic use"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	3	7
"anti-bacterial agents"	"MESH"	0.0106382978723404	1	0	0.384230058090875	0.180753594022051	0.0189091544781773	-9.26322026415737	215	-1
"anti-bacterial agents/adverse effects"	"MESH"	0.010752688172043	1	0	0.384027234545669	0.679238803509912	0.101421828564769	-9.75400787925831	241	5
"anti-bacterial agents/pharmacology"	"MESH"	0.010752688172043	1	650	0.407595842083464	1.01885820526487	0.309466231571587	-4.18153184793204	148	8
"antibodies monoclonal humanized"	"MESH"	0.010752688172043	1	0	0.385146660279719	0.520372995777007	0.0825126740865917	-9.62880491952643	235	4
