entity	category	node_weight	occurrence
escherichia coli infections/drug therapy	MESH	0.010752688172043	1
anti-bacterial agents/adverse effects	MESH	0.010752688172043	1
virus diseases/etiology	MESH	0.010752688172043	1
neoplasms/drug therapy	MESH	0.1290322580645161	12
clostridium infections/chemically induced	MESH	0.010752688172043	1
immune system diseases/drug therapy	MESH	0.010752688172043	1
IL6	GENE	0.021505376344086	2
LIF	GENE	0.010752688172043	1
gastrointestinal neoplasms/drug therapy	MESH	0.010752688172043	1
BTLA	GENE	0.010752688172043	1
CD28	GENE	0.010752688172043	1
CSF2	GENE	0.010752688172043	1
HAVCR2	GENE	0.010752688172043	1
IL15	GENE	0.010752688172043	1
IL17C	GENE	0.010752688172043	1
IL21	GENE	0.010752688172043	1
IL22	GENE	0.021505376344086	2
IL4	GENE	0.010752688172043	1
arthritis/chemically induced	MESH	0.010752688172043	1
glucocorticoids	MESH	0.010752688172043	1
CHI3L1	GENE	0.010752688172043	1
CXCL8	GENE	0.010752688172043	1
protective agents/pharmacology	MESH	0.010752688172043	1
mesalamine/pharmacology	MESH	0.010752688172043	1
colon/drug effects	MESH	0.032258064516129	3
immune checkpoint inhibitors/pharmacology	MESH	0.043010752688172	4
trinitrobenzenesulfonic acid/adverse effects	MESH	0.010752688172043	1
ACAD8	GENE	0.021505376344086	2
PDCD1	GENE	0.2688172043010752	25
CD274	GENE	0.1612903225806451	15
CTLA4	GENE	0.1290322580645161	12
neoplasms	MESH	0.043010752688172	4
immune checkpoint inhibitors	MESH	0.3225806451612903	30
infliximab/adverse effects	MESH	0.043010752688172	4
colitis	MESH	0.043010752688172	4
recurrence	MESH	0.010752688172043	1
diarrhea	MESH	0.021505376344086	2
inflammatory bowel diseases	MESH	0.021505376344086	2
LTF	GENE	0.010752688172043	1
colitis ulcerative	MESH	0.010752688172043	1
colitis/therapy	MESH	0.010752688172043	1
prednisolone/therapeutic use	MESH	0.010752688172043	1
carcinoma non-small-cell lung	MESH	0.010752688172043	1
esophagitis	MESH	0.010752688172043	1
ulcer/chemically induced	MESH	0.010752688172043	1
diarrhea/therapy	MESH	0.010752688172043	1
colitis microscopic/chemically induced	MESH	0.021505376344086	2
immunologic factors	MESH	0.021505376344086	2
neoplasms/therapy	MESH	0.010752688172043	1
colitis/chemically induced	MESH	0.7419354838709677	69
crohn disease/drug therapy	MESH	0.010752688172043	1
lung neoplasms	MESH	0.010752688172043	1
cd8-positive t-lymphocytes	MESH	0.010752688172043	1
cytomegalovirus infections/complications	MESH	0.010752688172043	1
TNF	GENE	0.032258064516129	3
intestinal mucosa/diagnostic imaging	MESH	0.010752688172043	1
drug resistance/immunology	MESH	0.010752688172043	1
colon/diagnostic imaging	MESH	0.010752688172043	1
skin neoplasms/drug therapy	MESH	0.021505376344086	2
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043	1
steroids/adverse effects	MESH	0.010752688172043	1
glucocorticoids/pharmacology	MESH	0.010752688172043	1
melanoma/drug therapy	MESH	0.053763440860215	5
immunosuppressive agents/pharmacology	MESH	0.010752688172043	1
drug-related side effects and adverse reactions	MESH	0.021505376344086	2
mucositis/chemically induced	MESH	0.010752688172043	1
adrenal cortex hormones/therapeutic use	MESH	0.032258064516129	3
SNCA	GENE	0.032258064516129	3
inflammation/drug therapy	MESH	0.021505376344086	2
tumor necrosis factor inhibitors	MESH	0.010752688172043	1
diarrhea/chemically induced	MESH	0.1505376344086021	14
biological products/therapeutic use	MESH	0.010752688172043	1
beclomethasone/adverse effects	MESH	0.010752688172043	1
hashimoto disease/chemically induced	MESH	0.010752688172043	1
squamous cell carcinoma of head and neck/drug therapy	MESH	0.010752688172043	1
tongue neoplasms/drug therapy	MESH	0.010752688172043	1
