kw1	kw2	crit_p	edge_weight	inv_edge_weight	iteration	pg	R1C1
abdominal pain/chemically induced	antineoplastic agents immunological/therapeutic use	0.0013888221509739	0.032258064516129	0.830190299122522	0	0.0005888664151666	1
abdominal pain/chemically induced	disease progression	1.11967578066339e-12	0.010752688172043	0.830190299122522	0	6.98330282489224e-14	1
abdominal pain/chemically induced	enterocolitis/chemically induced	1.0197981792359201e-09	0.021505376344086	0.830190299122522	0	9.620737539961509e-11	1
abdominal pain/chemically induced	gastritis/complications	1.11967578066339e-12	0.010752688172043	0.830190299122522	0	6.98330282489224e-14	1
abdominal pain/chemically induced	glucocorticoids/therapeutic use	1.11967578066339e-12	0.010752688172043	0.830190299122522	0	6.98330282489224e-14	1
abdominal pain/chemically induced	neoplasms/drug therapy	0.008650672897396	0.129032258064516	0.830190299122522	0	0.0046517769353922	1
antineoplastic agents immunological/therapeutic use	disease progression	0.0013888221509739	0.032258064516129	0.830190299122522	0	0.0005888664151666	1
antineoplastic agents immunological/therapeutic use	enterocolitis/chemically induced	0.0061761120560381	0.0638148667601683	0.830190299122522	0	0.0031884016641496	1
antineoplastic agents immunological/therapeutic use	gastritis/complications	0.0013888221509739	0.032258064516129	0.830190299122522	0	0.0005888664151666	1
antineoplastic agents immunological/therapeutic use	glucocorticoids/therapeutic use	0.0013888221509739	0.032258064516129	0.830190299122522	0	0.0005888664151666	1
disease progression	enterocolitis/chemically induced	1.0197981792359201e-09	0.021505376344086	0.830190299122522	0	9.620737539961509e-11	1
disease progression	gastritis/complications	1.11967578066339e-12	0.010752688172043	0.830190299122522	0	6.98330282489224e-14	1
disease progression	glucocorticoids/therapeutic use	1.11967578066339e-12	0.010752688172043	0.830190299122522	0	6.98330282489224e-14	1
disease progression	neoplasms/drug therapy	0.008650672897396	0.129032258064516	0.830190299122522	0	0.0046517769353922	1
enterocolitis/chemically induced	colitis ulcerative/physiopathology	0.0	0.021505376344086	0.830190299122522	0	0.0	1
enterocolitis/chemically induced	crohn disease/physiopathology	0.0	0.021505376344086	0.830190299122522	0	0.0	1
