entity	category	node_weight	occurrence
abdominal pain/chemically induced	MESH	0.010752688172043	1
antineoplastic agents immunological/therapeutic use	MESH	0.032258064516129	3
disease progression	MESH	0.010752688172043	1
enterocolitis/chemically induced	MESH	0.021505376344086	2
gastritis/complications	MESH	0.010752688172043	1
glucocorticoids/therapeutic use	MESH	0.010752688172043	1
neoplasms/drug therapy	MESH	0.1290322580645161	12
ACAD8	GENE	0.021505376344086	2
carcinoma non-small-cell lung/complications	MESH	0.010752688172043	1
colon/drug effects	MESH	0.032258064516129	3
CRP	GENE	0.010752688172043	1
drug-related side effects and adverse reactions	MESH	0.021505376344086	2
immune checkpoint inhibitors/pharmacology	MESH	0.043010752688172	4
infliximab/administration & dosage	MESH	0.010752688172043	1
melanoma/complications	MESH	0.032258064516129	3
mesalamine/pharmacology	MESH	0.010752688172043	1
protective agents/pharmacology	MESH	0.010752688172043	1
trinitrobenzenesulfonic acid/adverse effects	MESH	0.010752688172043	1
urothelium/drug effects	MESH	0.010752688172043	1
adenocarcinoma of lung/drug therapy	MESH	0.010752688172043	1
b7-h1 antigen/antagonists & inhibitors	MESH	0.032258064516129	3
biomarkers/metabolism	MESH	0.010752688172043	1
glycoproteins/metabolism	MESH	0.010752688172043	1
adrenal cortex hormones/pharmacology	MESH	0.0106382978723404	1
immune checkpoint inhibitors/adverse effects	MESH	0.5698924731182796	53
adrenal cortex hormones/therapeutic use	MESH	0.032258064516129	3
antineoplastic agents/adverse effects	MESH	0.0106382978723404	1
apoptosis/drug effects	MESH	0.0106382978723404	1
beclomethasone/adverse effects	MESH	0.010752688172043	1
biological products/therapeutic use	MESH	0.010752688172043	1
class i phosphatidylinositol 3-kinases/antagonists & inhibitors	MESH	0.0106382978723404	1
colon/chemistry	MESH	0.0106382978723404	1
diarrhea/chemically induced	MESH	0.1505376344086021	14
inflammation/drug therapy	MESH	0.021505376344086	2
intestinal mucosa/chemistry	MESH	0.0106382978723404	1
leukemia lymphocytic chronic b-cell/drug therapy	MESH	0.0106382978723404	1
lymphocytosis/chemically induced	MESH	0.0106382978723404	1
lymphoma non-hodgkin/drug therapy	MESH	0.0106382978723404	1
PIK3CD	GENE	0.0106382978723404	1
protein kinase inhibitors/adverse effects	MESH	0.0106382978723404	1
purines/adverse effects	MESH	0.0106382978723404	1
quinazolinones/adverse effects	MESH	0.0106382978723404	1
skin neoplasms/drug therapy	MESH	0.021505376344086	2
SNCA	GENE	0.032258064516129	3
TNF	GENE	0.032258064516129	3
tumor necrosis factor inhibitors	MESH	0.010752688172043	1
adrenal insufficiency/chemically induced	MESH	0.010752688172043	1
angiogenesis inhibitors/therapeutic use	MESH	0.010752688172043	1
axitinib/administration & dosage	MESH	0.010752688172043	1
bevacizumab/administration & dosage	MESH	0.010752688172043	1
carcinoma renal cell/drug therapy	MESH	0.021505376344086	2
diabetes mellitus type 1/chemically induced	MESH	0.010752688172043	1
exanthema/chemically induced	MESH	0.010752688172043	1
fatigue/chemically induced	MESH	0.010752688172043	1
hepatitis autoimmune/etiology	MESH	0.010752688172043	1
hypophysitis/chemically induced	MESH	0.010752688172043	1
ipilimumab/therapeutic use	MESH	0.032258064516129	3
myasthenia gravis/chemically induced	MESH	0.010752688172043	1
myocarditis/chemically induced	MESH	0.010752688172043	1
nephritis/chemically induced	MESH	0.010752688172043	1
nivolumab/therapeutic use	MESH	0.021505376344086	2
pneumonia/chemically induced	MESH	0.032258064516129	3
pruritus/chemically induced	MESH	0.010752688172043	1
AHR	GENE	0.010752688172043	1
IL22	GENE	0.021505376344086	2
tryptophan/pharmacology	MESH	0.010752688172043	1
anti-bacterial agents	MESH	0.0106382978723404	1
anti-bacterial agents/adverse effects	MESH	0.010752688172043	1
clostridium infections/chemically induced	MESH	0.010752688172043	1
escherichia coli infections/drug therapy	MESH	0.010752688172043	1
virus diseases/etiology	MESH	0.010752688172043	1
anti-bacterial agents/pharmacology	MESH	0.010752688172043	1
antineoplastic agents immunological/adverse effects	MESH	0.075268817204301	7
colitis/etiology	MESH	0.021505376344086	2
dysbiosis/etiology	MESH	0.010752688172043	1
host microbial interactions/drug effects	MESH	0.010752688172043	1
metabolome/drug effects	MESH	0.010752688172043	1
neoplasms/complications	MESH	0.032258064516129	3
antibodies monoclonal humanized	MESH	0.010752688172043	1
endometrial neoplasms/drug therapy	MESH	0.010752688172043	1
immune checkpoint inhibitors	MESH	0.3225806451612903	30
neoplasm recurrence local/drug therapy	MESH	0.010752688172043	1
antibodies monoclonal humanized/administration & dosage	MESH	0.010752688172043	1
dose-response relationship drug	MESH	0.021505376344086	2
drugs investigational/administration & dosage	MESH	0.010752688172043	1
immune checkpoint inhibitors/administration & dosage	MESH	0.043010752688172	4
neoplasms/diagnosis	MESH	0.010752688172043	1
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043	1
infliximab/adverse effects	MESH	0.043010752688172	4
steroids/adverse effects	MESH	0.010752688172043	1
antibodies monoclonal/adverse effects	MESH	0.010752688172043	1
ctla-4 antigen/antagonists & inhibitors	MESH	0.032258064516129	3
lymphocytes/drug effects	MESH	0.010752688172043	1
neutrophils/drug effects	MESH	0.010752688172043	1
vitamin d/administration & dosage	MESH	0.010752688172043	1
colitis ulcerative/chemically induced	MESH	0.010752688172043	1
cytomegalovirus infections/diagnosis	MESH	0.010752688172043	1
hashimoto disease/chemically induced	MESH	0.010752688172043	1
paclitaxel/therapeutic use	MESH	0.010752688172043	1
programmed cell death 1 receptor/antagonists & inhibitors	MESH	0.086021505376344	8
squamous cell carcinoma of head and neck/drug therapy	MESH	0.010752688172043	1
tongue neoplasms/drug therapy	MESH	0.010752688172043	1
vitamin d	MESH	0.010752688172043	1
biomarkers/analysis	MESH	0.010752688172043	1
