kw1	kw2	pg	crit_p	edge_weight	inv_edge_weight	R1C1	iteration
abdominal pain/chemically induced	antineoplastic agents immunological/therapeutic use	0.0005888664151666	0.0013888221509739	0.032258064516129	0.830190299122522	1	0
abdominal pain/chemically induced	disease progression	6.98330282489224e-14	1.11967578066339e-12	0.010752688172043	0.830190299122522	1	0
abdominal pain/chemically induced	enterocolitis/chemically induced	9.62073753996151e-11	1.01979817923592e-09	0.021505376344086	0.830190299122522	1	0
abdominal pain/chemically induced	gastritis/complications	6.98330282489224e-14	1.11967578066339e-12	0.010752688172043	0.830190299122522	1	0
abdominal pain/chemically induced	glucocorticoids/therapeutic use	6.98330282489224e-14	1.11967578066339e-12	0.010752688172043	0.830190299122522	1	0
abdominal pain/chemically induced	neoplasms/drug therapy	0.0046517769353922	0.008650672897396	0.129032258064516	0.830190299122522	1	0
ACAD8	carcinoma non-small-cell lung/complications	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
ACAD8	colon/drug effects	0.0033230272463853	0.0063786076318945	0.0638148667601683	0.830190299122522	1	0
ACAD8	CRP	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
ACAD8	drug-related side effects and adverse reactions	3.63207168585511e-06	2.07484813671004e-05	0.0427769985974754	0.830190299122522	1	0
ACAD8	immune checkpoint inhibitors/pharmacology	0.0007650097159677	0.001771405992799	0.0846189808321645	0.830190299122522	1	0
ACAD8	infliximab/administration & dosage	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
ACAD8	melanoma/complications	0.0005782582526319	0.0013705798087225	0.0638148667601683	0.830190299122522	1	0
ACAD8	mesalamine/pharmacology	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
ACAD8	protective agents/pharmacology	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
ACAD8	trinitrobenzenesulfonic acid/adverse effects	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
ACAD8	urothelium/drug effects	2.89640156303506e-09	2.14198999312825e-08	0.021505376344086	0.830190299122522	1	0
adenocarcinoma of lung/drug therapy	b7-h1 antigen/antagonists & inhibitors	8.48877190762209e-10	7.74320237197327e-09	0.032258064516129	0.830190299122522	1	0
adenocarcinoma of lung/drug therapy	biomarkers/metabolism	0	0	0.010752688172043	0.830190299122522	1	0
adenocarcinoma of lung/drug therapy	glycoproteins/metabolism	0	0	0.010752688172043	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	beclomethasone/adverse effects	1.25266463868456e-12	1.86725322703918e-11	0.032258064516129	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	biological products/therapeutic use	1.25266463868456e-12	1.86725322703918e-11	0.032258064516129	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	diarrhea/chemically induced	1.37004461520096e-06	8.16889101813573e-06	0.002805049088359	0.347909608055624	3	0
adrenal cortex hormones/therapeutic use	inflammation/drug therapy	0.0004982368131516	0.0011838553418347	0.0638148667601683	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	skin neoplasms/drug therapy	0.0002334339983105	0.0005814517869145	0.0638148667601683	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	SNCA	0.0009302340538402	0.0021230700654632	0.0946781129109319	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	TNF	0.0012219719371479	0.0026891839170452	0.0946781129109319	0.830190299122522	1	0
adrenal cortex hormones/therapeutic use	tumor necrosis factor inhibitors	2.25073886195304e-08	1.50681043810751e-07	0.032258064516129	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	colitis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	encephalitis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	hepatitis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	myocarditis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	neoplasms/diagnostic imaging	2.00646083081679e-08	1.36725973757087e-07	0.021505376344086	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	pancreatitis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	pericarditis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	pneumonia/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	sarcoidosis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal gland diseases/diagnostic imaging	thyroiditis/diagnostic imaging	9.98337412738692e-10	7.74320237197327e-09	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	angiogenesis inhibitors/therapeutic use	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	axitinib/administration & dosage	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	bevacizumab/administration & dosage	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	carcinoma renal cell/drug therapy	0.0012219719371479	0.0026891839170452	0.021505376344086	0.830190299122522	1	0
adrenal insufficiency/chemically induced	diabetes mellitus type 1/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	exanthema/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	fatigue/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	hepatitis autoimmune/etiology	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	hypophysitis/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	ipilimumab/therapeutic use	0.0036027646835737	0.0067591691408641	0.032258064516129	0.830190299122522	1	0
adrenal insufficiency/chemically induced	myasthenia gravis/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	myocarditis/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	nephritis/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
adrenal insufficiency/chemically induced	nivolumab/therapeutic use	0.00299295859196	0.0058034197088005	0.021505376344086	0.830190299122522	1	0
adrenal insufficiency/chemically induced	pruritus/chemically induced	0.0002334339983105	0.0005814517869145	0.010752688172043	0.830190299122522	1	0
AHR	IL22	1.42881040332554e-10	1.49789574150832e-09	0.021505376344086	0.830190299122522	1	0
AHR	immune checkpoint inhibitors/pharmacology	8.48877190762209e-10	7.74320237197327e-09	0.043010752688172	0.830190299122522	1	0
AHR	neoplasms/drug therapy	0.0001112700446812	0.0003281348458297	0.129032258064516	0.830190299122522	1	0
