KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank
abdominal pain/chemically induced	MESH	0.010752688172043	1	195.46875	0.413322489497081	1.01885820526487	0.398644752018454	-1.45641924340102	189
adenocarcinoma of lung/drug therapy	MESH	0.010752688172043	1	0	0.310000730086874	0.509429102632434	0.123702422145329	1.70919661607237	93
adrenal cortex hormones/pharmacology	MESH	0.0106382978723404	1	0	0.407581623301117	0.180753594022051	0.0261678200692042	-1.00576648956008	160
adrenal cortex hormones/therapeutic use	MESH	0.032258064516129	3	5069.39285714286	0.522915842373123	3.48942843057433	0.932525951557094	0.475986242176915	115
adrenal gland diseases/diagnostic imaging	MESH	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	2
adrenal insufficiency/chemically induced	MESH	0.010752688172043	1	43.3076923076923	0.280372206374154	2.72789910718422	0.576773356401384	11.3131823083489	13
angiogenesis inhibitors/therapeutic use	MESH	0.010752688172043	1	43.3076923076923	0.280372206374154	2.72789910718422	0.576773356401384	11.3131823083489	7
anti-bacterial agents	MESH	0.0106382978723404	1	0	0.407581623301117	0.180753594022051	0.0261678200692042	-1.00576648956008	157
anti-bacterial agents/adverse effects	MESH	0.010752688172043	1	0	0.407807861347524	0.679238803509912	0.159385813148789	-1.30508367378897	184
anti-bacterial agents/pharmacology	MESH	0.010752688172043	1	825.875	0.435754708536653	1.01885820526487	0.471813725490196	3.77363164496133	49
antibodies monoclonal humanized	MESH	0.010752688172043	1	0	0.408908861901964	0.520372995777007	0.133217993079585	-1.2356190317739	179
antibodies monoclonal humanized/administration & dosage	MESH	0.010752688172043	1	80.888888888889	0.283162879267955	0.84904850438739	0.266003460207612	8.12154715543548	32
antibodies monoclonal humanized/adverse effects	MESH	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	2
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043	1	0	0.279910975265968	0.339619401754956	0.0785034602076125	-0.432769106518497	137
