KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank
ACAD8	GENE	0.021505376344086	2	0	1.20454310422196	0.169809700877478	1	0	2
AHR	GENE	0.010752688172043	1	0	0.308857206210759	0.169809700877478	0.0090702947845805	0.341940857975844	11
APC	GENE	0.021505376344086	2	51	0.321211494459189	0.84904850438739	0.430839002267574	-0.236953738411464	18
ARG1	GENE	0.010752688172043	1	0	0.261857196569991	0.509429102632434	0.072562358276644	-0.306945151454384	21
BTLA	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	7
CD274	GENE	0.161290322580645	15	0	34210.5610123805	1.9896889176317	0.444444444444444	0.185185185185185	2
CD28	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	6
CD4	GENE	0.021505376344086	2	0	1.71046891355076	0.830729992135198	1	0	2
CD68	GENE	0.021505376344086	2	0	1.71046891355076	0.830729992135198	1	0	1
CD8A	GENE	0.053763440860215	5	0	1.71046891355076	0.830729992135198	1	0	3
CHI3L1	GENE	0.010752688172043	1	42	0.512571533711472	0.509429102632434	0.326530612244898	0.146122243303973	14
CRP	GENE	0.010752688172043	1	0	1.20454310422196	0.169809700877478	1	0	1
CSF2	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	9
CTLA4	GENE	0.129032258064516	12	0	18218.748796735	1.98963760208818	0.222222222222222	-0.185185185185185	3
CXCL10	GENE	0.010752688172043	1	0	0.963634483377568	0.509429102632434	0.64	0.096	2
CXCL8	GENE	0.010752688172043	1	42	0.512571533711472	0.509429102632434	0.326530612244898	0.146122243303973	13
CXCL9	GENE	0.010752688172043	1	0	0.963634483377568	0.509429102632434	0.64	0.096	3
HAVCR2	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	10
IL15	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	3
IL17A	GENE	0.021505376344086	2	84	0.454544567630928	0.679238803509912	0.408163265306122	0.00329595178963521	15
IL17C	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	4
IL21	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	8
IL22	GENE	0.021505376344086	2	19	0.408319696346427	1.69809700877478	0.634920634920635	0.382983427687024	1
IL4	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	5
IL6	GENE	0.021505376344086	2	99	0.560252606614865	1.86790670965226	1	0.29975678858089	12
LIF	GENE	0.010752688172043	1	2.22222222222222	0.481817241688784	1.69809700877478	0.589569160997732	0.348491626431374	2
LTF	GENE	0.010752688172043	1	NA	NA	NA	NA	NA	NA
MIR15B	GENE	0.010752688172043	1	30	0.38239463626094	0.509429102632434	0.290249433106576	-0.123960695389267	17
MTOR	GENE	0.010752688172043	1	NA	NA	NA	NA	NA	NA
NRF1	GENE	0.010752688172043	1	30	0.38239463626094	0.509429102632434	0.290249433106576	-0.123960695389267	16
PARP1	GENE	0.010752688172043	1	0	0.261857196569991	0.509429102632434	0.072562358276644	-0.306945151454384	20
PDCD1	GENE	0.268817204301075	25	1	35663.6556660281	1.99994392049938	1	0.259259259259259	1
SNCA	GENE	0.032258064516129	3	0	0.688310345269691	0.169809700877478	0.16	-0.1056	5
TCIM	GENE	0.010752688172043	1	0	0.963634483377568	0.509429102632434	0.64	0.096	1
TIPARP	GENE	0.010752688172043	1	0	0.261857196569991	0.509429102632434	0.072562358276644	-0.306945151454384	19
TNF	GENE	0.032258064516129	3	3	1.20454310422196	0.679238803509912	1	0.0767999999999999	4
