KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank
abdominal pain/chemically induced	MESH	0.010752688172043	1	177.46875	0.396694617788629	1.01885820526487	0.398890045091918	-0.450645125430498	162
adenocarcinoma of lung/drug therapy	MESH	0.010752688172043	1	0	0.301766251795654	0.509429102632434	0.117065556711759	1.60279703178662	67
adrenal cortex hormones/therapeutic use	MESH	0.032258064516129	3	3111.30952380952	0.487438284467821	1.50113889633177	0.651925078043704	0.444960986903862	110
adrenal gland diseases/diagnostic imaging	MESH	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	9
adrenal insufficiency/chemically induced	MESH	0.010752688172043	1	39.1153846153846	0.257726429386574	2.54714551316217	0.535061856862065	7.28310827027257	4
angiogenesis inhibitors/therapeutic use	MESH	0.010752688172043	1	39.1153846153846	0.257726429386574	2.54714551316217	0.535061856862065	7.28310827027257	13
anti-bacterial agents/adverse effects	MESH	0.010752688172043	1	0	0.391124463796661	0.679238803509912	0.145161290322581	-0.468321038767058	167
anti-bacterial agents/pharmacology	MESH	0.010752688172043	1	740.375	0.419630216504228	1.01885820526487	0.485605272285813	3.45407020813302	46
antibodies monoclonal humanized	MESH	0.010752688172043	1	0	1.20454310422196	0.339619401754956	1	0	1
antibodies monoclonal humanized/administration & dosage	MESH	0.010752688172043	1	49.2666666666666	0.273167395255958	0.84904850438739	0.249277373106718	3.76816486329609	43
antibodies monoclonal humanized/adverse effects	MESH	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	4
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043	1	0	0.274157518541936	0.339619401754956	0.0702393340270552	-0.178685343015107	140
antibodies monoclonal/adverse effects	MESH	0.010752688172043	1	172.943045112782	0.407002022893961	1.01885820526487	0.384437507226269	1.1439985670248	89
antineoplastic agents immunological/adverse effects	MESH	0.075268817204301	7	6833.9	0.571871228022715	4.6042922007844	0.957451728523529	-0.0825541027554806	136
antineoplastic agents immunological/therapeutic use	MESH	0.032258064516129	3	0	0.301240345113833	0.84904850438739	0.180280957336108	0.183531926142421	120
arthritis/chemically induced	MESH	0.010752688172043	1	0	0.183311300555539	0.339619401754956	0.0702393340270552	5.60028983813573	29
axitinib/administration & dosage	MESH	0.010752688172043	1	39.1153846153846	0.257726429386574	2.54714551316217	0.535061856862065	7.28310827027257	2
azoxymethane/adverse effects	MESH	0.010752688172043	1	0	0.19061833148957	1.35847760701982	0.287981269510926	5.35369099034975	36
b7-h1 antigen/antagonists & inhibitors	MESH	0.032258064516129	3	555.5	0.400465272439716	1.26441350045499	0.464360041623309	1.85385610587427	60
b7-h1 antigen/genetics	MESH	0.010752688172043	1	0	1.20454310422196	1.35847760701982	1	0	1
b7-h1 antigen/metabolism	MESH	0.010752688172043	1	0	0.301520612929584	0.84904850438739	0.180280957336108	0.0295020980560058	129
beclomethasone/adverse effects	MESH	0.010752688172043	1	0	0.396678454357469	0.509429102632434	0.117065556711759	0.894060187907271	91
bevacizumab/administration & dosage	MESH	0.010752688172043	1	39.1153846153846	0.257726429386574	2.54714551316217	0.535061856862065	7.28310827027257	10
biological products/therapeutic use	MESH	0.010752688172043	1	0	0.397286734265632	0.509429102632434	0.117065556711759	0.158735450092588	121
biomarkers/analysis	MESH	0.010752688172043	1	12.8190476190476	0.4051749957441	0.84904850438739	0.200312174817898	0.31728231704106	117
biomarkers/metabolism	MESH	0.010752688172043	1	0	0.301766251795654	0.509429102632434	0.117065556711759	1.60279703178662	68
butyrates/metabolism	MESH	0.010752688172043	1	0	0.389075773310295	0.169809700877478	0.0163891779396462	-0.250727441063869	147
carcinoma non-small-cell lung	MESH	0.010752688172043	1	0	0.389758971001184	0.339619401754956	0.0702393340270552	-0.310591490490063	152
carcinoma non-small-cell lung/complications	MESH	0.010752688172043	1	76.1000000000001	0.279917267289889	0.84904850438739	0.267082899757197	1.48600996924666	81
carcinoma non-small-cell lung/drug therapy	MESH	0.021505376344086	2	0	0.254953782160909	0.339619401754956	0.0702393340270552	5.25563370587027	39
carcinoma renal cell/drug therapy	MESH	0.021505376344086	2	1236	0.314706335581336	2.96251050922977	0.889929471615216	7.14859785952584	15
