"entity"	"membership"
"abdominal pain/chemically induced"	1
"antineoplastic agents immunological/therapeutic use"	1
"colitis ulcerative/physiopathology"	1
"crohn disease/physiopathology"	1
"disease progression"	1
"enterocolitis/chemically induced"	1
"gastritis/complications"	1
"glucocorticoids/therapeutic use"	1
"ACAD8"	2
"AHR"	2
"antibodies monoclonal humanized/administration & dosage"	2
"b7-h1 antigen/metabolism"	2
"carcinoma non-small-cell lung/complications"	2
"carcinoma non-small-cell lung/drug therapy"	2
"colitis collagenous/drug therapy"	2
"colitis/diagnosis"	2
"CRP"	2
"disease susceptibility"	2
"dose-response relationship drug"	2
"drug-related side effects and adverse reactions"	2
"drugs investigational/administration & dosage"	2
"feces"	2
"gastrointestinal tract/metabolism"	2
"immune checkpoint inhibitors/administration & dosage"	2
"immune checkpoint inhibitors/pharmacology"	2
"inflammatory bowel diseases"	2
"infliximab/administration & dosage"	2
"melanoma/complications"	2
"mesalamine/pharmacology"	2
"neoplasms/diagnosis"	2
"pneumonia/chemically induced"	2
"postoperative complications"	2
"programmed cell death 1 receptor/metabolism"	2
"protective agents/pharmacology"	2
"skin neoplasms/complications"	2
"steroids/therapeutic use"	2
"trinitrobenzenesulfonic acid/adverse effects"	2
"tryptophan/pharmacology"	2
"urothelium/drug effects"	2
"adenocarcinoma of lung/drug therapy"	3
"anti-bacterial agents/pharmacology"	3
"antibodies monoclonal/adverse effects"	3
"antineoplastic agents immunological/adverse effects"	3
"b7-h1 antigen/antagonists & inhibitors"	3
"biomarkers/metabolism"	3
"CD274"	3
"colitis/epidemiology"	3
"ctla-4 antigen/antagonists & inhibitors"	3
"CTLA4"	3
"dysbiosis/etiology"	3
"glycoproteins/metabolism"	3
"host microbial interactions/drug effects"	3
"lymphocytes/drug effects"	3
"metabolome/drug effects"	3
"neoplasms/complications"	3
"neutrophils/drug effects"	3
"PDCD1"	3
"programmed cell death 1 receptor/antagonists & inhibitors"	3
"vitamin d/administration & dosage"	3
"adrenal cortex hormones/therapeutic use"	4
"anti-bacterial agents/adverse effects"	4
"beclomethasone/adverse effects"	4
"biological products/therapeutic use"	4
"biomarkers/analysis"	4
"clostridium infections/chemically induced"	4
"colitis ulcerative/chemically induced"	4
"colitis/chemically induced"	4
"colon/immunology"	4
"diarrhea/chemically induced"	4
"drug-related side effects and adverse reactions/diagnosis"	4
"escherichia coli infections/drug therapy"	4
"feces/chemistry"	4
"hashimoto disease/chemically induced"	4
"immune checkpoint inhibitors/adverse effects"	4
"intestinal mucosa/immunology"	4
"ipilimumab/adverse effects"	4
"leukocyte l1 antigen complex/analysis"	4
"lung neoplasms/drug therapy"	4
"neoplasms/drug therapy"	4
"nivolumab/adverse effects"	4
"paclitaxel/therapeutic use"	4
"prednisolone/therapeutic use"	4
"protein kinase inhibitors/therapeutic use"	4
"SNCA"	4
"squamous cell carcinoma of head and neck/drug therapy"	4
"t-lymphocyte subsets/immunology"	4
"tongue neoplasms/drug therapy"	4
"virus diseases/etiology"	4
"adrenal gland diseases/diagnostic imaging"	5
"colitis/diagnostic imaging"	5
"encephalitis/diagnostic imaging"	5
"hepatitis/diagnostic imaging"	5
"myocarditis/diagnostic imaging"	5
"neoplasms/diagnostic imaging"	5
"pancreatitis/diagnostic imaging"	5
"pericarditis/diagnostic imaging"	5
"pneumonia/diagnostic imaging"	5
"sarcoidosis/diagnostic imaging"	5
"thyroiditis/diagnostic imaging"	5
"adrenal insufficiency/chemically induced"	6
"angiogenesis inhibitors/therapeutic use"	6
"axitinib/administration & dosage"	6
"bevacizumab/administration & dosage"	6
"carcinoma renal cell/drug therapy"	6
"diabetes mellitus type 1/chemically induced"	6
"exanthema/chemically induced"	6
"fatigue/chemically induced"	6
"hepatitis autoimmune/etiology"	6
"hypophysitis/chemically induced"	6
"inflammatory bowel diseases/drug therapy"	6
"ipilimumab/therapeutic use"	6
"myasthenia gravis/chemically induced"	6
"myocarditis/chemically induced"	6
"nephritis/chemically induced"	6
"nivolumab/therapeutic use"	6
"proton pump inhibitors/adverse effects"	6
"pruritus/chemically induced"	6
"antibodies monoclonal humanized"	7
"endometrial neoplasms/drug therapy"	7
"neoplasm recurrence local/drug therapy"	7
"antibodies monoclonal humanized/adverse effects"	8
"immunocompromised host"	8
"immunosuppressive agents/therapeutic use"	8
"melanoma/immunology"	8
"myasthenia gravis/diagnosis"	8
"prednisone/therapeutic use"	8
"skin neoplasms/immunology"	8
"antibodies monoclonal humanized/therapeutic use"	9
"colon/diagnostic imaging"	9
"CXCL10"	9
"CXCL9"	9
"dermatitis"	9
"drug resistance/immunology"	9
"glucocorticoids/pharmacology"	9
"immunosuppressive agents/pharmacology"	9
"infliximab/adverse effects"	9
"intestinal mucosa/diagnostic imaging"	9
"melanoma/drug therapy"	9
"mucositis/chemically induced"	9
"psoriasis"	9
"rna"	9
"skin neoplasms/drug therapy"	9
"steroids/adverse effects"	9
"TCIM"	9
"TNF"	9
"tumor necrosis factor inhibitors"	9
"APC"	10
"b7-h1 antigen/genetics"	10
