c1	c2	weight	query
1	4	2.82387587619007	abdominal pain/chemically induced_antineoplastic agents immunological/therapeutic use_disease progression_neoplasms/drug therapy
1	4	2.59818021820177	abdominal pain/chemically induced_antineoplastic agents immunological/therapeutic use_enterocolitis/chemically induced_neoplasms/drug therapy
10	11	2.0946139037208	APC_ARG1_azoxymethane/adverse effects_colonic neoplasms/drug therapy
10	11	1.85001598432612	APC_ARG1_b7-h1 antigen/genetics_colorectal neoplasms/drug therapy
10	12	2.67035553337504	arthritis/chemically induced_CHI3L1_CXCL8_IL17A
10	12	2.07591162372313	arthritis/chemically induced_CHI3L1_IL17A_IL6
10	2	2.06681539782786	APC_b7-h1 antigen/genetics_colorectal neoplasms/drug therapy_immune checkpoint inhibitors/administration & dosage
11	3	2.50303075375377	anti-bacterial agents/pharmacology_colitis/etiology_dysbiosis/etiology_host microbial interactions/drug effects
11	3	2.42415894447157	anti-bacterial agents/pharmacology_colitis/etiology_dysbiosis/etiology_neoplasms/complications
12	2	2.49528756156688	AHR_IL22_immune checkpoint inhibitors/pharmacology_tryptophan/pharmacology
12	2	2.34905992863601	AHR_BTLA_IL22_tryptophan/pharmacology
12	6	2.68088064748231	arthritis/chemically induced_CHI3L1_CXCL8_nivolumab/therapeutic use
12	6	2.0864367378304	arthritis/chemically induced_CHI3L1_IL6_nivolumab/therapeutic use
13	15	3.26047658873325	cd8-positive t-lymphocytes/cytology_colitis/drug therapy_diarrhea/therapy_neoplasms/therapy
13	15	2.92660457091024	cd8-positive t-lymphocytes/cytology_chemokines/metabolism_colitis/drug therapy_diarrhea/therapy
13	2	4.03255584566493	b7-h1 antigen/metabolism_gastrointestinal tract/metabolism_inflammatory bowel diseases_recurrence
13	2	3.90244088585989	colitis_inflammatory bowel diseases_ligands_pneumonia
13	3	3.90599657002268	colitis_CTLA4_ligands_pneumonia
13	3	3.44287482464145	colitis_CTLA4_diarrhea_ligands
13	4	71.2625194434591	colitis/chemically induced_immune checkpoint inhibitors_immune checkpoint inhibitors/adverse effects_neoplasms/drug therapy
13	4	67.5965119206757	colitis/chemically induced_immune checkpoint inhibitors_immune checkpoint inhibitors/adverse effects_nivolumab/adverse effects
13	6	3.83157816965451	colitis_inflammatory bowel diseases/drug therapy_ligands_pneumonia
13	6	3.36845642427328	colitis_diarrhea_inflammatory bowel diseases/drug therapy_ligands
13	9	4.76337425935937	antibodies monoclonal humanized/therapeutic use_infliximab/adverse effects_LTF_steroids/adverse effects
13	9	4.30121307256291	colitis/therapy_immune checkpoint inhibitors_immunologic factors_TNF
14	2	3.36904182106348	colon/drug effects_mesalamine/pharmacology_protective agents/pharmacology_trinitrobenzenesulfonic acid/adverse effects
14	2	3.02817380108462	colon/drug effects_crohn disease/immunology_mesalamine/pharmacology_protective agents/pharmacology
14	3	3.25788224976267	antineoplastic agents immunological/adverse effects_ctla-4 antigen/antagonists & inhibitors_immunologic memory/drug effects_programmed cell death 1 receptor/antagonists & inhibitors
