PMID	KW1	KW2	link	link_explicit	QuerySet
36377339	abdominal pain/chemically induced	antineoplastic agents immunological/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36377339/"", ""36377339"")"	https://pubmed.ncbi.nlm.nih.gov/36377339	pmid-ICI_and_Colitis.txt
36377339	abdominal pain/chemically induced	disease progression	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36377339/"", ""36377339"")"	https://pubmed.ncbi.nlm.nih.gov/36377339	pmid-ICI_and_Colitis.txt
36377339	abdominal pain/chemically induced	enterocolitis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36377339/"", ""36377339"")"	https://pubmed.ncbi.nlm.nih.gov/36377339	pmid-ICI_and_Colitis.txt
36377339	abdominal pain/chemically induced	gastritis/complications	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36377339/"", ""36377339"")"	https://pubmed.ncbi.nlm.nih.gov/36377339	pmid-ICI_and_Colitis.txt
36377339	abdominal pain/chemically induced	glucocorticoids/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36377339/"", ""36377339"")"	https://pubmed.ncbi.nlm.nih.gov/36377339	pmid-ICI_and_Colitis.txt
36377339	abdominal pain/chemically induced	neoplasms/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36377339/"", ""36377339"")"	https://pubmed.ncbi.nlm.nih.gov/36377339	pmid-ICI_and_Colitis.txt
32418993	ACAD8	carcinoma non-small-cell lung/complications	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32418993/"", ""32418993"")"	https://pubmed.ncbi.nlm.nih.gov/32418993	pmid-ICI_and_Colitis.txt
33506015	ACAD8	colon/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33506015/"", ""33506015"")"	https://pubmed.ncbi.nlm.nih.gov/33506015	pmid-ICI_and_Colitis.txt
32418993	ACAD8	CRP	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32418993/"", ""32418993"")"	https://pubmed.ncbi.nlm.nih.gov/32418993	pmid-ICI_and_Colitis.txt
32418993	ACAD8	drug-related side effects and adverse reactions	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32418993/"", ""32418993"")"	https://pubmed.ncbi.nlm.nih.gov/32418993	pmid-ICI_and_Colitis.txt
33506015	ACAD8	immune checkpoint inhibitors/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33506015/"", ""33506015"")"	https://pubmed.ncbi.nlm.nih.gov/33506015	pmid-ICI_and_Colitis.txt
32418993	ACAD8	infliximab/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32418993/"", ""32418993"")"	https://pubmed.ncbi.nlm.nih.gov/32418993	pmid-ICI_and_Colitis.txt
32418993	ACAD8	melanoma/complications	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32418993/"", ""32418993"")"	https://pubmed.ncbi.nlm.nih.gov/32418993	pmid-ICI_and_Colitis.txt
33506015	ACAD8	mesalamine/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33506015/"", ""33506015"")"	https://pubmed.ncbi.nlm.nih.gov/33506015	pmid-ICI_and_Colitis.txt
33506015	ACAD8	protective agents/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33506015/"", ""33506015"")"	https://pubmed.ncbi.nlm.nih.gov/33506015	pmid-ICI_and_Colitis.txt
33506015	ACAD8	trinitrobenzenesulfonic acid/adverse effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33506015/"", ""33506015"")"	https://pubmed.ncbi.nlm.nih.gov/33506015	pmid-ICI_and_Colitis.txt
32418993	ACAD8	urothelium/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32418993/"", ""32418993"")"	https://pubmed.ncbi.nlm.nih.gov/32418993	pmid-ICI_and_Colitis.txt
32389505	adenocarcinoma of lung/drug therapy	b7-h1 antigen/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32389505/"", ""32389505"")"	https://pubmed.ncbi.nlm.nih.gov/32389505	pmid-ICI_and_Colitis.txt
32389505	adenocarcinoma of lung/drug therapy	biomarkers/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32389505/"", ""32389505"")"	https://pubmed.ncbi.nlm.nih.gov/32389505	pmid-ICI_and_Colitis.txt
32389505	adenocarcinoma of lung/drug therapy	glycoproteins/metabolism	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32389505/"", ""32389505"")"	https://pubmed.ncbi.nlm.nih.gov/32389505	pmid-ICI_and_Colitis.txt
36113896	adrenal cortex hormones/therapeutic use	beclomethasone/adverse effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36113896/"", ""36113896"")"	https://pubmed.ncbi.nlm.nih.gov/36113896	pmid-ICI_and_Colitis.txt
34380976	adrenal cortex hormones/therapeutic use	biological products/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34380976/"", ""34380976"")"	https://pubmed.ncbi.nlm.nih.gov/34380976	pmid-ICI_and_Colitis.txt
36113896	adrenal cortex hormones/therapeutic use	diarrhea/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36113896/"", ""36113896"")"	https://pubmed.ncbi.nlm.nih.gov/36113896	pmid-ICI_and_Colitis.txt
32641348	adrenal cortex hormones/therapeutic use	diarrhea/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32641348/"", ""32641348"")"	https://pubmed.ncbi.nlm.nih.gov/32641348	pmid-ICI_and_Colitis.txt
34380976	adrenal cortex hormones/therapeutic use	diarrhea/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34380976/"", ""34380976"")"	https://pubmed.ncbi.nlm.nih.gov/34380976	pmid-ICI_and_Colitis.txt
36113896	adrenal cortex hormones/therapeutic use	inflammation/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/36113896/"", ""36113896"")"	https://pubmed.ncbi.nlm.nih.gov/36113896	pmid-ICI_and_Colitis.txt
32641348	adrenal cortex hormones/therapeutic use	skin neoplasms/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32641348/"", ""32641348"")"	https://pubmed.ncbi.nlm.nih.gov/32641348	pmid-ICI_and_Colitis.txt
32641348	adrenal cortex hormones/therapeutic use	SNCA	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32641348/"", ""32641348"")"	https://pubmed.ncbi.nlm.nih.gov/32641348	pmid-ICI_and_Colitis.txt
32641348	adrenal cortex hormones/therapeutic use	TNF	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32641348/"", ""32641348"")"	https://pubmed.ncbi.nlm.nih.gov/32641348	pmid-ICI_and_Colitis.txt
32641348	adrenal cortex hormones/therapeutic use	tumor necrosis factor inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32641348/"", ""32641348"")"	https://pubmed.ncbi.nlm.nih.gov/32641348	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	colitis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	encephalitis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	hepatitis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	myocarditis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	neoplasms/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	pancreatitis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	pericarditis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	pneumonia/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	sarcoidosis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
33375984	adrenal gland diseases/diagnostic imaging	thyroiditis/diagnostic imaging	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33375984/"", ""33375984"")"	https://pubmed.ncbi.nlm.nih.gov/33375984	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	angiogenesis inhibitors/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	axitinib/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	bevacizumab/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	carcinoma renal cell/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	diabetes mellitus type 1/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	exanthema/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	fatigue/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	hepatitis autoimmune/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	hypophysitis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	ipilimumab/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	myasthenia gravis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	myocarditis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	nephritis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	nivolumab/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	adrenal insufficiency/chemically induced	pruritus/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
35236743	AHR	IL22	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35236743/"", ""35236743"")"	https://pubmed.ncbi.nlm.nih.gov/35236743	pmid-ICI_and_Colitis.txt
35236743	AHR	immune checkpoint inhibitors/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35236743/"", ""35236743"")"	https://pubmed.ncbi.nlm.nih.gov/35236743	pmid-ICI_and_Colitis.txt
35236743	AHR	neoplasms/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35236743/"", ""35236743"")"	https://pubmed.ncbi.nlm.nih.gov/35236743	pmid-ICI_and_Colitis.txt
35236743	AHR	tryptophan/pharmacology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35236743/"", ""35236743"")"	https://pubmed.ncbi.nlm.nih.gov/35236743	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	axitinib/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	bevacizumab/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	carcinoma renal cell/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	diabetes mellitus type 1/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	exanthema/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	fatigue/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	hepatitis autoimmune/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	hypophysitis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	ipilimumab/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	myasthenia gravis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	myocarditis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	nephritis/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	nivolumab/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
32130969	angiogenesis inhibitors/therapeutic use	pruritus/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32130969/"", ""32130969"")"	https://pubmed.ncbi.nlm.nih.gov/32130969	pmid-ICI_and_Colitis.txt
34107499	anti-bacterial agents/adverse effects	clostridium infections/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34107499/"", ""34107499"")"	https://pubmed.ncbi.nlm.nih.gov/34107499	pmid-ICI_and_Colitis.txt
34107499	anti-bacterial agents/adverse effects	escherichia coli infections/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34107499/"", ""34107499"")"	https://pubmed.ncbi.nlm.nih.gov/34107499	pmid-ICI_and_Colitis.txt
34107499	anti-bacterial agents/adverse effects	neoplasms/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34107499/"", ""34107499"")"	https://pubmed.ncbi.nlm.nih.gov/34107499	pmid-ICI_and_Colitis.txt
34107499	anti-bacterial agents/adverse effects	virus diseases/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34107499/"", ""34107499"")"	https://pubmed.ncbi.nlm.nih.gov/34107499	pmid-ICI_and_Colitis.txt
34162429	anti-bacterial agents/pharmacology	antineoplastic agents immunological/adverse effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
34162429	anti-bacterial agents/pharmacology	colitis/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
34162429	anti-bacterial agents/pharmacology	dysbiosis/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
34162429	anti-bacterial agents/pharmacology	host microbial interactions/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
34162429	anti-bacterial agents/pharmacology	metabolome/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
34162429	anti-bacterial agents/pharmacology	neoplasms/complications	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
