kw1	kw2	iteration	R1C1	pg	inv_edge_weight	edge_weight	crit_p
abdominal pain/chemically induced	antineoplastic agents immunological/therapeutic use	0	1	0.0005888664151666	0.830190299122522	0.032258064516129	0.0013888221509739
abdominal pain/chemically induced	disease progression	0	1	6.98330282489224e-14	0.830190299122522	0.010752688172043	1.11967578066339e-12
abdominal pain/chemically induced	enterocolitis/chemically induced	0	1	9.620737539961509e-11	0.830190299122522	0.021505376344086	1.0197981792359201e-09
abdominal pain/chemically induced	gastritis/complications	0	1	6.98330282489224e-14	0.830190299122522	0.010752688172043	1.11967578066339e-12
abdominal pain/chemically induced	glucocorticoids/therapeutic use	0	1	6.98330282489224e-14	0.830190299122522	0.010752688172043	1.11967578066339e-12
abdominal pain/chemically induced	neoplasms/drug therapy	0	1	0.0046517769353922	0.830190299122522	0.129032258064516	0.008650672897396
antineoplastic agents immunological/therapeutic use	disease progression	0	1	0.0005888664151666	0.830190299122522	0.032258064516129	0.0013888221509739
antineoplastic agents immunological/therapeutic use	enterocolitis/chemically induced	0	1	0.0031884016641496	0.830190299122522	0.0638148667601683	0.0061761120560381
antineoplastic agents immunological/therapeutic use	gastritis/complications	0	1	0.0005888664151666	0.830190299122522	0.032258064516129	0.0013888221509739
antineoplastic agents immunological/therapeutic use	glucocorticoids/therapeutic use	0	1	0.0005888664151666	0.830190299122522	0.032258064516129	0.0013888221509739
disease progression	enterocolitis/chemically induced	0	1	9.620737539961509e-11	0.830190299122522	0.021505376344086	1.0197981792359201e-09
disease progression	gastritis/complications	0	1	6.98330282489224e-14	0.830190299122522	0.010752688172043	1.11967578066339e-12
disease progression	glucocorticoids/therapeutic use	0	1	6.98330282489224e-14	0.830190299122522	0.010752688172043	1.11967578066339e-12
disease progression	neoplasms/drug therapy	0	1	0.0046517769353922	0.830190299122522	0.129032258064516	0.008650672897396
enterocolitis/chemically induced	colitis ulcerative/physiopathology	0	1	0.0	0.830190299122522	0.021505376344086	0.0
enterocolitis/chemically induced	crohn disease/physiopathology	0	1	0.0	0.830190299122522	0.021505376344086	0.0
enterocolitis/chemically induced	gastritis/complications	0	1	9.620737539961509e-11	0.830190299122522	0.021505376344086	1.0197981792359201e-09
enterocolitis/chemically induced	glucocorticoids/therapeutic use	0	1	9.620737539961509e-11	0.830190299122522	0.021505376344086	1.0197981792359201e-09
gastritis/complications	glucocorticoids/therapeutic use	0	1	6.98330282489224e-14	0.830190299122522	0.010752688172043	1.11967578066339e-12
gastritis/complications	neoplasms/drug therapy	0	1	0.0046517769353922	0.830190299122522	0.129032258064516	0.008650672897396
glucocorticoids/therapeutic use	neoplasms/drug therapy	0	1	0.0046517769353922	0.830190299122522	0.129032258064516	0.008650672897396
neoplasms/drug therapy	AHR	0	1	0.0001112700446812	0.830190299122522	0.129032258064516	0.0003281348458297
neoplasms/drug therapy	anti-bacterial agents/adverse effects	0	1	0.0012043173595439	0.830190299122522	0.129032258064516	0.0026891839170452
neoplasms/drug therapy	biological products/therapeutic use	0	1	0.0001112700446812	0.830190299122522	0.129032258064516	0.0003281348458297
neoplasms/drug therapy	biomarkers/analysis	0	1	0.0004436759846442	0.830190299122522	0.129032258064516	0.0010715617451913
neoplasms/drug therapy	butyrates/metabolism	0	1	4.86148063361114e-07	0.830190299122522	0.129032258064516	3.07142551289074e-06
neoplasms/drug therapy	chemical and drug induced liver injury/diagnosis	0	1	4.86148063361114e-07	0.830190299122522	0.129032258064516	3.07142551289074e-06
neoplasms/drug therapy	clostridium infections/chemically induced	0	1	0.0012043173595439	0.830190299122522	0.129032258064516	0.0026891839170452
neoplasms/drug therapy	colitis/chemically induced	0	11	0.0017136073625698	5.36975220686589e-05	0.126233984373546	0.0037111950599129
neoplasms/drug therapy	colon/immunology	0	2	1.6323991047784102e-09	0.584635003932401	0.0154277699859747	1.25589414996662e-08
neoplasms/drug therapy	diarrhea/chemically induced	0	5	6.95203111253928e-05	0.0777468263617441	0.0161314791677859	0.0002516978247196
neoplasms/drug therapy	escherichia coli infections/drug therapy	0	1	0.0012043173595439	0.830190299122522	0.129032258064516	0.0026891839170452
neoplasms/drug therapy	feces/chemistry	0	1	0.0004436759846442	0.830190299122522	0.129032258064516	0.0010715617451913
