KW	category	node_weight	occurrence	btw_cnt	cls_cnt	strength	qscore	Knode	ranking
abdominal pain/chemically induced	MESH	0.010752688172043	1	253.416666666667	0.387817032329816	1.01885820526487	0.271312860555912	-10.7719088068107	252
abdominal pain/etiology	MESH	0.0104166666666666	1	0	0.348201333855161	1.48155513799669	0.226909853738127	5.89788604221745	83
ACAD8	GENE	0.021505376344086	2	767.138888888889	0.349754274456192	1.86790670965226	0.477390594953674	2.54084506316395	106
adenocarcinoma of lung/drug therapy	MESH	0.010752688172043	1	0	0.306696790386986	0.509429102632434	0.0756366179127091	0.281950985650718	125
adrenal cortex hormones/pharmacology	MESH	0.0106382978723404	1	0	0.384230058090875	0.180753594022051	0.0189091544781773	-9.26322026415737	216
adrenal cortex hormones/therapeutic use	MESH	0.032258064516129	3	4729.64285714286	0.476356351248852	4.00980142635133	0.947278713361692	-9.97250780247218	244
adrenal gland diseases/diagnostic imaging	MESH	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	2
adrenal insufficiency/chemically induced	MESH	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	14
AHR	GENE	0.010752688172043	1	1606.30952380952	0.423259351911908	0.679238803509912	0.20800069925995	-8.4021511995583	197
angiogenesis inhibitors/therapeutic use	MESH	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	7
anti-bacterial agents	MESH	0.0106382978723404	1	0	0.384230058090875	0.180753594022051	0.0189091544781773	-9.26322026415737	217
anti-bacterial agents/adverse effects	MESH	0.010752688172043	1	0	0.384027234545669	0.679238803509912	0.101421828564769	-9.75400787925831	240
anti-bacterial agents/pharmacology	MESH	0.010752688172043	1	650	0.407595842083464	1.01885820526487	0.309466231571587	-4.18153184793204	150
antibodies monoclonal humanized	MESH	0.010752688172043	1	0	0.385146660279719	0.520372995777007	0.0825126740865917	-9.62880491952643	236
antibodies monoclonal humanized/administration & dosage	MESH	0.010752688172043	1	365.5	0.326776191238732	0.84904850438739	0.221796515354583	23.3704866189081	42
antibodies monoclonal humanized/adverse effects	MESH	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	3
antibodies monoclonal humanized/therapeutic use	MESH	0.010752688172043	1	0	0.292015372107767	0.339619401754956	0.0446943651302372	-6.02062031580299	173
antibodies monoclonal/adverse effects	MESH	0.010752688172043	1	64.6527777777778	0.415351597205809	1.01885820526487	0.224680962647864	-6.38644759644936	179
antineoplastic agents immunological/adverse effects	MESH	0.075268817204301	7	6469.4	0.557806730928718	4.6042922007844	0.965940213274285	-11.3009066333499	255
antineoplastic agents immunological/therapeutic use	MESH	0.032258064516129	3	0	0.295293593289512	0.84904850438739	0.128926053260299	-7.58309754436222	184
antineoplastic agents/adverse effects	MESH	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	158
APC	GENE	0.021505376344086	2	3728.5	0.285418105513948	3.98136871449464	0.936163393741623	23.4997659536725	40
apoptosis/drug effects	MESH	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	163
ARG1	GENE	0.010752688172043	1	30	0.243746876208342	2.03771641052974	0.401346075403531	24.243953293794	39
arthritis/chemically induced	MESH	0.010752688172043	1	254.104166666667	0.269595641201253	1.01885820526487	0.276965211817493	25.1402337506909	27
